Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"R26","LRE120","COM","PMIC RESISTOR","0","0","50","-20","27","0","0","0","","","",""
"R28","LRE120","COM","ACC BUS IN FILTER","0","0","50","-20","27","17","0","14","","","",""
"R92_ML1","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R92_ML2","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R92_ML3","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R92_ML4","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R92_ML5","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R92_ML6","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R45","LRE142","COM","","0","0","50","-20","27","0","0","0","","","",""
"R50","LRE144","COM","","0","0","50","-20","27","0","0","0","","","",""
"R84","LRE144","COM","","0","0","50","-20","27","0","0","0","","","",""
"R85","LRE144","COM","","0","0","50","-20","27","0","0","0","","","",""
"R12","LRE147","COM","","0","0","50","-20","27","0","0","0","","","",""
"R16","LRE147","COM","","0","0","50","-20","27","0","0","0","","","",""
"R17","LRE147","COM","","0","0","50","-20","27","0","0","0","","","",""
"R18","LRE147","COM","","0","0","50","-20","27","0","0","0","","","",""
"R47","LRE147","COM","","0","0","50","-20","27","0","0","0","","","",""
"R91_ML1","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R91_ML2","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R91_ML3","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R91_ML4","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R91_ML5","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R91_ML6","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R27","LRE176","COM","","0","0","50","-20","27","0","0","0","","","",""
"R21_OGA1","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R21_OGA2","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R21_OGA3","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R62_OGB1","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R62_OGB2","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R62_OGB3","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R68","LRE219","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R72","LRE219","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R77","LRE219","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH1","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH2","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH3","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH4","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH5","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH6","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH7","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R86_TH8","LRE220","COM","","0.1","0","155","-55","27","75","0","75","","","",""
"R22_ML1","LRE228","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22_ML2","LRE228","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22_ML3","LRE228","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22_ML4","LRE228","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22_ML5","LRE228","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22_ML6","LRE228","COM","","0","0","50","-20","27","0","0","0","","","",""
"RLY2","LSW007","COM","","","","50","-20","27","","","","","","",""
