Designator,LDL_NUMBER,FMEDA__CHANNEL,FMEDA__FUNCTION_IN_SYSTEM,FMEDA__OPERATING__POWER_MAX,FMEDA__OPERATING__POWER_MIN,FMEDA__OPERATING__TEMP_MAX,FMEDA__OPERATING__TEMP_MIN,FMEDA__OPERATING__TEMP_TYP,FMEDA__OPERATING__VOLTAGE_MAX,FMEDA__OPERATING__VOLTAGE_MIN,FMEDA__OPERATING__VOLTAGE_TYP,FMEDA__OPERATING__CURRENT_MAX,FMEDA__OPERATING__CURRENT_MIN,FMEDA__OPERATING__CURRENT_TYP,FMEDA__OPERATING__POWER_TYP
"R20_TH6","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH7","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R20_TH8","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R21","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R22","LRE030","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14_BL1","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R14_BL2","LRE140","COM","","0","0","50","-20","27","0","0","0","","","",""
"R13_BL1","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R13_BL2","LRE167","COM","","0.01","0","50","-20","27","0","0","0","","","",""
"R19_TH1","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH2","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH3","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH4","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH5","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH6","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH7","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R19_TH8","LRE184","COM","","0","0","50","-20","27","0","0","0","","","",""
"R5_L1","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R5_L2","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"R5_L3","LRE190","COM","","0","0","155","-55","27","0","0","150","","","",""
"RLY1","LSW020","COM","","","","50","-20","27","","","","","","",""
"RLY2","LSW020","COM","","","","50","-20","27","","","","","","",""
